cbdc keywords,keyword type,description
cbdc,hard keyword,General term
cbdcs,hard keyword,General term
wcbdc,hard keyword,General term
rcbdc,hard keyword,General term
wcbdcs,hard keyword,General term
rcbdcs,hard keyword,General term
central bank digital currency,hard keyword,General term
central bank digital currencies,hard keyword,General term
wholesale cbdc,hard keyword,General term
wholesale cbdcs,hard keyword,General term
retail cbdc,hard keyword,General term
retail cbdcs,hard keyword,General term
digital currency,soft keyword,General term
digital currencies,soft keyword,General term
digital money,soft keyword,General term
digital fiat currency,soft keyword,General term
digital fiat currencies,soft keyword,General term
digital fiat money,soft keyword,General term
digital base money,soft keyword,General term
digital base currency,soft keyword,General term
tokenized money,soft keyword,General term
programmable money,soft keyword,General term
programmable currency,soft keyword,General term
e-money,soft keyword,General term
e-currency,soft keyword,General term
digital base currencies,soft keyword,General term
digital currency electronic payment,hard keyword,General term
dcep,hard keyword,General term
electronic money,soft keyword,General term
electronic currency,soft keyword,General term
e-cny,hard keyword,China
electronic chinese yuan,hard keyword,China
digital rmb,hard keyword,China
digital renminbi,hard keyword,China
digital yuan,hard keyword,China
digital rupee,hard keyword,India
einr,hard keyword,India
e-rupee,hard keyword,India
jam-dex,hard keyword,Jamaica
jamdex,hard keyword,Jamaica
enaira,hard keyword,Nigeria
dcash,hard keyword,Eastern Caribbean
sand dollar,hard keyword,Bahamian
sanddollar,hard keyword,Bahamian
digital ruble,hard keyword,Russia
digital euro,hard keyword,European Central Bank
digital dollar,hard keyword,USA
wholesale digital dollar,hard keyword,USA
moneda digital del banco central,hard keyword,Mexico
dinero electronico,hard keyword,Ecuador
digital peso,hard keyword,Argentina
e-peso,hard keyword,Uruguay
drex,hard keyword,Brazil
algerian digital dinar,hard keyword,Algeria
e-cedi,hard keyword,Ghana
e-ariary,hard keyword,Madagascar
digital pound,hard keyword,United Kingdom
rscoin,hard keyword,United Kingdom
digital zloty,hard keyword,Poland
digital ruble,hard keyword,Belarus
e-hryvnia,hard keyword,Ukraine
digital lari,hard keyword,Georgia
digital lira,hard keyword,Turkey
digital rial,hard keyword,Iran
digital tenge,hard keyword,Kazakhstan
digital som,hard keyword,Kyrgyzstan
digital ngultrum,hard keyword,Bhutan
rafkrona,hard keyword,Iceland
e-kroner,hard keyword,Denmark
digital yen,hard keyword,Japan
digital won,hard keyword,South Korea
e-ringgit,hard keyword,Malaysia
digital rupiah,hard keyword,Indonesia
eaud,hard keyword,Australia
e-hkd,hard keyword,Hong Kong
project bang khun prom,hard keyword,Thailand
digital shekel,hard keyword,Israel
project orchid,hard keyword,Singapore
ubin+,hard keyword,Singapore
digital dirham,hard keyword,UAE
digital canadian dollar,hard keyword,Canada
project helvetia,hard keyword,BIS
