country,stance01_our,stance_auer_use,n_speeches,pro_share,wait_share,anti_share,diff,abs_diff
Chile,0.75,-0.333333333,2,0.5,0.5,0.0,1.0833333330000001,1.0833333330000001
Nepal,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
Czech Republic,0.5,-0.5,2,0.0,1.0,0.0,1.0,1.0
Slovenia,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
Barbados,1.0,0.0,2,1.0,0.0,0.0,1.0,1.0
Morocco,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
Bosnia and Herzegovina,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
Nigeria,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
Portugal,1.0,0.0,3,1.0,0.0,0.0,1.0,1.0
Eswatini,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0
North Macedonia,1.0,0.0,3,1.0,0.0,0.0,1.0,1.0
Denmark,0.4285714285714286,-0.5,7,0.0,0.8571428571428571,0.1428571428571428,0.9285714285714286,0.9285714285714286
Finland,0.9,0.0,5,0.8,0.2,0.0,0.9,0.9
Albania,0.75,0.0,2,0.5,0.5,0.0,0.75,0.75
Croatia,0.75,0.0,2,0.5,0.5,0.0,0.75,0.75
Netherlands,0.75,0.0,4,0.5,0.5,0.0,0.75,0.75
Russia,0.75,0.0,4,0.5,0.5,0.0,0.75,0.75
Pakistan,0.75,0.0,2,0.5,0.5,0.0,0.75,0.75
Japan,0.6842105263157895,0.0,19,0.3684210526315789,0.631578947368421,0.0,0.6842105263157895,0.6842105263157895
Norway,0.6,0.0,5,0.2,0.8,0.0,0.6,0.6
New Zealand,0.6666666666666666,0.142857143,12,0.4166666666666667,0.5,0.0833333333333333,0.5238095236666667,0.5238095236666667
Serbia,0.5,0.0,3,0.0,1.0,0.0,0.5,0.5
Mexico,0.75,0.25,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.5
Kenya,0.5,0.0,1,0.0,1.0,0.0,0.5,0.5
Iceland,0.5,0.0,1,0.0,1.0,0.0,0.5,0.5
Belgium,0.5,0.0,2,0.0,1.0,0.0,0.5,0.5
Canada,0.6,0.111111111,10,0.2,0.8,0.0,0.488888889,0.488888889
Ireland,0.7333333333333334,0.25,15,0.5333333333333333,0.4,0.0666666666666666,0.4833333333333334,0.4833333333333334
Germany,0.7857142857142857,0.342857143,56,0.5892857142857143,0.3928571428571428,0.0178571428571428,0.4428571427142857,0.4428571427142857
Lithuania,0.6666666666666666,0.25,3,0.3333333333333333,0.6666666666666666,0.0,0.41666666666666663,0.41666666666666663
US,0.578125,0.166666667,32,0.25,0.65625,0.09375,0.411458333,0.411458333
Curacao and Sint Maarten,0.8333333333333333,0.5,3,0.6666666666666666,0.3333333333333333,0.0,0.33333333333333326,0.33333333333333326
Malaysia,0.8333333333333333,0.5,6,0.6666666666666666,0.3333333333333333,0.0,0.33333333333333326,0.33333333333333326
Spain,0.7916666666666667,0.5,12,0.5833333333333334,0.4166666666666667,0.0,0.29166666666666674,0.29166666666666674
UK,0.6470588235294117,0.363636364,34,0.2941176470588235,0.7058823529411765,0.0,0.2834224595294117,0.2834224595294117
Thailand,0.9375,0.666666667,8,0.875,0.125,0.0,0.270833333,0.270833333
Singapore,0.8666666666666667,0.6,15,0.7333333333333333,0.2666666666666666,0.0,0.2666666666666667,0.2666666666666667
China,0.8333333333333333,0.6,3,0.6666666666666666,0.3333333333333333,0.0,0.23333333333333328,0.23333333333333328
Greece,0.875,0.666666667,4,0.75,0.25,0.0,0.208333333,0.208333333
Sweden,0.625,0.833333333,4,0.25,0.75,0.0,-0.208333333,0.208333333
Australia,0.75,0.888888889,14,0.5,0.5,0.0,-0.13888888899999996,0.13888888899999996
Italy,0.8518518518518519,0.761904762,27,0.7037037037037037,0.2962962962962963,0.0,0.08994708985185185,0.08994708985185185
India,0.9107142857142856,1.0,28,0.8214285714285714,0.1785714285714285,0.0,-0.08928571428571441,0.08928571428571441
Mauritius,0.9375,1.0,8,0.875,0.125,0.0,-0.0625,0.0625
Switzerland,0.7777777777777778,0.75,9,0.5555555555555556,0.4444444444444444,0.0,0.02777777777777779,0.02777777777777779
Hong Kong,0.9615384615384616,0.952380952,26,0.9230769230769232,0.0769230769230769,0.0,0.009157509538461617,0.009157509538461617
France,0.8809523809523809,0.873015873,63,0.7619047619047619,0.238095238095238,0.0,0.007936507952380878,0.007936507952380878
South Africa,0.6666666666666666,0.666666667,6,0.5,0.3333333333333333,0.1666666666666666,-3.33333360913457e-10,3.33333360913457e-10
Botswana,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
Bahamas,1.0,1.0,4,1.0,0.0,0.0,0.0,0.0
Kuwait,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0
Cyprus,1.0,1.0,2,1.0,0.0,0.0,0.0,0.0
UAE,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0
Israel,1.0,1.0,2,1.0,0.0,0.0,0.0,0.0
