author,sentences,speeches,first_year,last_year,avg_tokens
Fabio Panetta,854,26,2018,2024,27.3
Burkhard Balz,478,23,2019,2024,24.6
Joachim Nagel,371,15,2022,2024,22.2
François Villeroy de Galhau,208,28,2019,2024,32.7
Denis Beau,191,31,2018,2024,33.8
Piero Cipollone,161,10,2021,2024,30.9
Pablo Hernández de Cos,160,9,2020,2023,32.1
Jens Weidmann,132,9,2016,2021,26.4
Jon Cunliffe,131,6,2020,2023,29.8
Lael Brainard,122,8,2018,2022,38.1
Michelle W Bowman,119,6,2022,2024,34.2
Christopher J Waller,111,5,2021,2024,26.1
Masayoshi Amamiya,106,5,2018,2020,27.4
Eddie Yue,101,21,2019,2024,29.4
Brad Jones,95,4,2023,2024,31.2
Christine Lagarde,88,22,2019,2024,25.1
Ravi Menon,85,11,2016,2023,20.6
T Rabi Sankar,79,4,2021,2023,24.2
Randal K Quarles,68,2,2017,2021,26.3
Yves Mersch,60,11,2016,2020,25.2
Thomas Jordan,50,4,2018,2024,21.3
Harvesh Seegolam,48,4,2021,2023,25.7
Chang Yong Rhee,47,5,2022,2024,29.6
Signe Krogstrup,45,3,2022,2024,27.7
Shaktikanta Das,43,14,2021,2024,25.9
