3-gram,count,share_%
"('cross border payments',)",121,13.25
"('banque de france',)",52,5.7
"('committee economic affairs',)",30,3.29
"('distributed ledger technology',)",27,2.96
"('economic affairs european',)",27,2.96
"('affairs european parliament',)",27,2.96
"('payment service providers',)",26,2.85
"('investigation phase euro',)",26,2.85
"('legal tender status',)",23,2.52
"('european parliament brussels',)",22,2.41
"('frankfurt am main',)",21,2.3
"('member executive board',)",20,2.19
"('u s dollar',)",20,2.19
"('introductory statement committee',)",20,2.19
"('statement committee economic',)",20,2.19
"('bis innovation hub',)",19,2.08
"('www bis org',)",16,1.75
"('euro complement cash',)",16,1.75
"('new form money',)",15,1.64
"('fabio panetta member',)",15,1.64
"('panetta member executive',)",15,1.64
"('private payment solutions',)",14,1.53
"('public consultation euro',)",14,1.53
"('payment settlement systems',)",13,1.42
"('executive board ecb',)",13,1.42
"('across euro area',)",13,1.42
"('panetta f euro',)",13,1.42
"('project helvetia iii',)",13,1.42
"('ledger technology dlt',)",12,1.31
"('international settlements bis',)",12,1.31
"('https www bis',)",12,1.31
"('possible issuance euro',)",12,1.31
"('new forms money',)",12,1.31
"('throughout euro area',)",12,1.31
"('both wholesale retail',)",11,1.2
"('striking right balance',)",11,1.2
"('cross border use',)",11,1.2
"('possible introduction euro',)",11,1.2
"('cbdcs cross border',)",11,1.2
"('phase euro project',)",11,1.2
"('euro retail payments',)",11,1.2
"('euro serves needs',)",11,1.2
"('see panetta f',)",11,1.2
"('public private sectors',)",11,1.2
"('solution search problem',)",10,1.1
"('cross border transactions',)",10,1.1
"('retail payments market',)",10,1.1
"('board governors federal',)",10,1.1
"('governors federal reserve',)",10,1.1
"('whether issue euro',)",10,1.1
